,rank,link,rankChange,title,isNetflixOriginal,points,change,countriesCnt,totalCountries,days,totalDays,total
0,1,https://flixpatrol.com/title/squid-game/,n/a,Squid Game,Netflix original title,57980,None,90,644,104,558,57980
1,2,https://flixpatrol.com/title/money-heist/,n/a,Money Heist,Netflix original title,44382,None,91,488,364,122,44382
2,3,https://flixpatrol.com/title/lupin/,n/a,Lupin,Netflix original title,42690,None,83,514,256,167,42690
3,4,https://flixpatrol.com/title/sexlife/,n/a,Sex/Life,Netflix original title,34609,None,82,422,141,245,34609
4,5,https://flixpatrol.com/title/bridgerton/,n/a,Bridgerton,Netflix original title,33973,None,82,414,146,233,33973
5,6,https://flixpatrol.com/title/new-amsterdam/,n/a,New Amsterdam,The general title,33561,None,75,447,255,132,33561
6,7,https://flixpatrol.com/title/lucifer/,n/a,Lucifer,Netflix original title,32230,None,80,403,212,152,32230
7,8,https://flixpatrol.com/title/who-killed-sara/,n/a,Who Killed Sara?,Netflix original title,30363,None,79,384,88,345,30363
8,9,https://flixpatrol.com/title/yo-soy-betty-la-fea/,n/a,Yo soy Betty la fea,The general title,29271,None,17,1722,364,80,29271
9,10,https://flixpatrol.com/title/maid/,n/a,Maid,Netflix original title,29008,None,88,330,90,322,29008
10,11,https://flixpatrol.com/title/ginny-georgia/,n/a,Ginny & Georgia,Netflix original title,28496,None,78,365,112,254,28496
11,12,https://flixpatrol.com/title/the-good-doctor-2017/,n/a,The Good Doctor,The general title,27654,None,55,503,233,119,27654
12,13,https://flixpatrol.com/title/you-2018/,n/a,You,Netflix original title,23940,None,90,266,87,275,23940
13,14,https://flixpatrol.com/title/pablo-escobar-the-drug-lord/,n/a,"Pablo Escobar, The Drug Lord",The general title,22309,None,18,1239,349,64,22309
14,15,https://flixpatrol.com/title/vincenzo/,n/a,Vincenzo,Netflix original title,20307,None,56,363,308,66,20307
15,16,https://flixpatrol.com/title/paw-patrol/,n/a,Paw Patrol,The general title,20019,None,53,378,364,55,20019
16,17,https://flixpatrol.com/title/sex-education/,n/a,Sex Education,Netflix original title,19667,None,83,237,98,201,19667
17,18,https://flixpatrol.com/title/riverdale/,n/a,Riverdale,The general title,18915,None,60,315,226,84,18915
18,19,https://flixpatrol.com/title/pasion-de-gavilanes/,n/a,Pasión de gavilanes,The general title,17714,None,16,1107,308,58,17714
